country,date,sector,value,timestamp,Year
China,2019-01-01,Power,14.8161,1546300800,2019
China,2019-01-02,Power,14.5771,1546387200,2019
China,2019-01-03,Power,14.132,1546473600,2019
China,2019-01-04,Power,14.6018,1546560000,2019
China,2019-01-05,Power,14.5936,1546646400,2019
China,2019-01-06,Power,14.7007,1546732800,2019
China,2019-01-07,Power,14.5386,1546819200,2019
China,2019-01-08,Power,14.7529,1546905600,2019
China,2019-01-09,Power,14.8133,1546992000,2019
China,2019-01-10,Power,15.1046,1547078400,2019
China,2019-01-11,Power,15.371,1547164800,2019
China,2019-01-12,Power,14.9122,1547251200,2019
China,2019-01-13,Power,14.4315,1547337600,2019
China,2019-01-14,Power,14.382,1547424000,2019
China,2019-01-15,Power,14.5881,1547510400,2019
China,2019-01-16,Power,14.6155,1547596800,2019
China,2019-01-17,Power,14.6815,1547683200,2019
China,2019-01-18,Power,14.5633,1547769600,2019
China,2019-01-19,Power,14.4315,1547856000,2019
China,2019-01-20,Power,13.9919,1547942400,2019
China,2019-01-21,Power,13.8188,1548028800,2019
China,2019-01-22,Power,13.4122,1548115200,2019
China,2019-01-23,Power,13.4397,1548201600,2019
China,2019-01-24,Power,12.9754,1548288000,2019
China,2019-01-25,Power,12.1814,1548374400,2019
China,2019-01-26,Power,11.4452,1548460800,2019
China,2019-01-27,Power,11.0193,1548547200,2019
China,2019-01-28,Power,11.2034,1548633600,2019
China,2019-01-29,Power,10.5441,1548720000,2019
China,2019-01-30,Power,9.93966,1548806400,2019
China,2019-01-31,Power,9.62373,1548892800,2019
China,2019-02-01,Power,10.6834,1548979200,2019
China,2019-02-02,Power,10.6021,1549065600,2019
China,2019-02-03,Power,10.28,1549152000,2019
China,2019-02-04,Power,9.84858,1549238400,2019
China,2019-02-05,Power,9.67662,1549324800,2019
China,2019-02-06,Power,9.62972,1549411200,2019
China,2019-02-07,Power,9.56406,1549497600,2019
China,2019-02-08,Power,9.8392,1549584000,2019
China,2019-02-09,Power,10.2832,1549670400,2019
China,2019-02-10,Power,10.5927,1549756800,2019
China,2019-02-11,Power,11.2024,1549843200,2019
China,2019-02-12,Power,11.5181,1549929600,2019
China,2019-02-13,Power,11.9434,1550016000,2019
China,2019-02-14,Power,12.4561,1550102400,2019
China,2019-02-15,Power,12.5968,1550188800,2019
China,2019-02-16,Power,12.9251,1550275200,2019
China,2019-02-17,Power,12.9782,1550361600,2019
China,2019-02-18,Power,13.3222,1550448000,2019
China,2019-02-19,Power,14.1788,1550534400,2019
China,2019-02-20,Power,15.123,1550620800,2019
China,2019-02-21,Power,15.3231,1550707200,2019
China,2019-02-22,Power,15.0543,1550793600,2019
China,2019-02-23,Power,15.0761,1550880000,2019
China,2019-02-24,Power,14.9542,1550966400,2019
China,2019-02-25,Power,15.2231,1551052800,2019
China,2019-02-26,Power,14.4477,1551139200,2019
China,2019-02-27,Power,15.0105,1551225600,2019
China,2019-02-28,Power,14.7416,1551312000,2019
China,2019-03-01,Power,13.0546,1551398400,2019
China,2019-03-02,Power,13.2079,1551484800,2019
China,2019-03-03,Power,12.8233,1551571200,2019
China,2019-03-04,Power,12.7749,1551657600,2019
China,2019-03-05,Power,12.0756,1551744000,2019
China,2019-03-06,Power,12.0541,1551830400,2019
China,2019-03-07,Power,11.9466,1551916800,2019
China,2019-03-08,Power,12.0703,1552003200,2019
China,2019-03-09,Power,12.3769,1552089600,2019
China,2019-03-10,Power,12.2612,1552176000,2019
China,2019-03-11,Power,12.1079,1552262400,2019
China,2019-03-12,Power,11.5458,1552348800,2019
China,2019-03-13,Power,11.5109,1552435200,2019
China,2019-03-14,Power,11.648,1552521600,2019
China,2019-03-15,Power,11.7529,1552608000,2019
China,2019-03-16,Power,11.9116,1552694400,2019
China,2019-03-17,Power,11.6453,1552780800,2019
China,2019-03-18,Power,11.7314,1552867200,2019
China,2019-03-19,Power,11.6937,1552953600,2019
China,2019-03-20,Power,12.0918,1553040000,2019
China,2019-03-21,Power,11.7852,1553126400,2019
China,2019-03-22,Power,11.8928,1553212800,2019
China,2019-03-23,Power,12.003,1553299200,2019
China,2019-03-24,Power,11.8739,1553385600,2019
China,2019-03-25,Power,11.96,1553472000,2019
China,2019-03-26,Power,11.5646,1553558400,2019
China,2019-03-27,Power,11.9223,1553644800,2019
China,2019-03-28,Power,12.1241,1553731200,2019
China,2019-03-29,Power,11.8578,1553817600,2019
China,2019-03-30,Power,11.7045,1553904000,2019
China,2019-03-31,Power,11.7153,1553990400,2019
